#Mod_Status,#Mod_Name,#Nexus_ID,#Mod_Nexus_URL,#Mod_Version,#Download_File_Name
"+","Fixed body collision",10849,"https://www.nexusmods.com/skyrimspecialedition/mods/10849","1.0.0.0","Fixed body collision-10849-1-0.zip"
"+","Explosion Collision Fix",154076,"https://www.nexusmods.com/skyrimspecialedition/mods/154076","1.0.1.0","Explosion Collision Fix-154076-1-0-1-1752169470.zip"
"+","Zero Bounty Hostility Fix",95989,"https://www.nexusmods.com/skyrimspecialedition/mods/95989","0.7.0.0","Zero Bounty Hostility Fix SKSE 95989 0.7 2026-08-02T22-36Z 9LMpgbNP9.7z"
"+","Unaggressive Dragon Priests Fix",69026,"https://www.nexusmods.com/skyrimspecialedition/mods/69026","1.3.1.0","Unaggressive Dragon Priests Fix-69026-1-3-1-1714315952.7z"
"+","Alchemy XP Fix VR",118746,"https://www.nexusmods.com/skyrimspecialedition/mods/118746","1.0.0.1","Alchemy XP Fix VR-118746-1-0-0-1-1715061881.7z"
"+","Native EditorID Fix VR",179558,"https://www.nexusmods.com/skyrimspecialedition/mods/179558","1.1.0.0","NativeEditorIDFixVR-179558-1-1-0-1778334631.zip"
"+","Skyrim Cell load Freeze fix NG",160704,"https://www.nexusmods.com/skyrimspecialedition/mods/160704","0.0.4.0","skyrim-freeze-fix-160704-0-0-4-1760281302.7z"
"+","LeveledList Crash Fix VR",156773,"https://www.nexusmods.com/skyrimspecialedition/mods/156773","1.1.1.0","Leveled List Crash Fix VR-156773-1-1-1-1755068263.7z"
"+","Collision Sentinel - Crash Fix",181445,"https://www.nexusmods.com/skyrimspecialedition/mods/181445","2.1.0.0","CollisionSentinel 181445 2.1.0 2026-07-10T17-08Z n0oTCm5ba.7z"
"+","BGSWaterCollision - CrashFix",181562,"https://www.nexusmods.com/skyrimspecialedition/mods/181562","f1.00","BGSWaterCollisionCrashFix-181562-1-00-1780506561.7z"
"+","Instantly Skip Dialogue NG",89163,"https://www.nexusmods.com/skyrimspecialedition/mods/89163","1.1.1.0","Instantly Skip Dialogue NG-89163-1-1-1-1693399775.zip"
"+","Enhanced Reanimation VR",59512,"https://www.nexusmods.com/skyrimspecialedition/mods/59512","1.5.1.0","Enhanced Reanimation VR-59512-1-5-1-1669711333.7z"
"+","Enhanced Invisibility VR",63889,"https://www.nexusmods.com/skyrimspecialedition/mods/63889","1.3.0.0","Enhanced Invisibility VR-63889-1-3-0-1753942607.7z"
"+","GIST - Genuinely Intelligent Soul Trap SE",15755,"https://www.nexusmods.com/skyrimspecialedition/mods/15755","1.3.0.0","GIST Soul Trap-15755-1-3.zip"
"+","Loading Screen Truce AE",104522,"https://www.nexusmods.com/skyrimspecialedition/mods/104522","f0.01-AE1.2","Loading Screen Truce AE Support-104522-0-01-AE1-2-1767965988.7z"
"+","NPC Stuck in Bleedout fix",95489,"https://www.nexusmods.com/skyrimspecialedition/mods/95489","0.2.0.0","NPC Stuck in Bleedout fix-95489-0-2-1746447178.7z"
"+","No Silly Physics Damage - Carts Pots Bones etc",36132,"https://www.nexusmods.com/skyrimspecialedition/mods/36132","2.0.0.0","No Silly Physics Damage (esl)-36132-2-1589820691.7z"
"+","Keep Up - Follower Locomotion Fix",173685,"https://www.nexusmods.com/skyrimspecialedition/mods/173685","4.2.0.0","Keep Up Follower Locomotion Fix 173685 4.2.0 2026-07-10T14-57Z kATsMWuFu.7z"
"+","Scripts Carefully Reworked Optimized and Tactfully Enhanced (SCROTE) - Simply Optimized Scripts AIO",97155,"https://www.nexusmods.com/skyrimspecialedition/mods/97155","1.0.2.0","SCROTE BSA Version-97155-1-0-2-1714948522.7z"
"+","Horsemen Torch Wield Fix and Mount Tweaks SE",77303,"https://www.nexusmods.com/skyrimspecialedition/mods/77303","1.3.0.0","Horsemen Torch Wield Fix and Mount Tweaks SE-77303-1-3-1712010600.rar"
"+","GAREN'TGOYLE - Gargoyle Stalking Bug Fix",140831,"https://www.nexusmods.com/skyrimspecialedition/mods/140831","1.0.0.0","GAREN'TGOYLE - Gargoyle Stalking Bug Fix-140831-1-0-1738632807.zip"
"+","Mum's the Word NG",77409,"https://www.nexusmods.com/skyrimspecialedition/mods/77409","2.1.0.0","Mum's the Word-77409-2-1-1666299465.zip"
"+","Simple Offence Suppression",41764,"https://www.nexusmods.com/skyrimspecialedition/mods/41764","2.3.0.0","Simple Offence Suppression 41764 2.3.0 2026-08-06T02-50Z 31i7IoeJ9.7z"
"+","Simple Offence Suppression VR",59508,"https://www.nexusmods.com/skyrimspecialedition/mods/59508","2.1.0.0","Simple Offence Suppression VR-59508-2-1-0-1638614802.7z"
"+","Stagger Effect Fix",110508,"https://www.nexusmods.com/skyrimspecialedition/mods/110508","1.0.3.0","Stagger Effect Fix-110508-1-0-3-1767962833.7z"
"+","No Stagger Mod",16335,"https://www.nexusmods.com/skyrimspecialedition/mods/16335","1.0.0.0","NoStaggerMod v 1.0-16335-1-0.7z"
"+","#VR Core & Interaction_separator",-1,"","",""
"+","Skyrim VR Tools",27782,"https://www.nexusmods.com/skyrimspecialedition/mods/27782","2.3.0.0-BETA","SkyrimVRTools-27782-2-3-BETA-1590789255.zip"
"+","VRIK Player Avatar",23416,"https://www.nexusmods.com/skyrimspecialedition/mods/23416","0.8.6.0","VRIK Player Avatar 23416 0.8.6 2026-07-12T13-00Z Yj6wQRIkO.rar"
"+","Arctal's VRIK Tweaks",63663,"https://www.nexusmods.com/skyrimspecialedition/mods/63663","2.0.0.0","Arctals VRIK Tweaks-63663-2-0-1706348724.7z"
"+","HIGGS - Enhanced VR Interaction",43930,"https://www.nexusmods.com/skyrimspecialedition/mods/43930","1.10.10.0","HIGGS 1.10.10-43930-1-10-10-1768263289.zip"
"+","PLANCK - Physical Animation and Character Kinetics",66025,"https://www.nexusmods.com/skyrimspecialedition/mods/66025","0.8.1.0","PLANCK 0.8.1 66025 0.8.1 2026-07-30T03-35Z 4t2yDcbYt.zip"
"+","PLANCK VR Lifetime and Collision Alpha Fix",188233,"https://www.nexusmods.com/skyrimspecialedition/mods/188233","1.0.0.0","PLANCK VR Lifetime and Collision Alpha Fix 188233 1.0.0 2026-08-13T05-24Z UK35Xn2GU.zip"
"+","Haptic Skyrim VR - Spellcasting and Enhanced Bow and Melee Haptics",20364,"https://www.nexusmods.com/skyrimspecialedition/mods/20364","1.8.0.0","Haptic Skyrim VR-20364-1-8-0-1762201230.rar"
"+","Spell Wheel VR",47630,"https://www.nexusmods.com/skyrimspecialedition/mods/47630","1.5.11.0","Spell Wheel VR 47630 1.5.11 2026-08-09T21-28Z L5WQbqYI9.rar"
"+","Simple Realistic Archery VR",28524,"https://www.nexusmods.com/skyrimspecialedition/mods/28524","1.26.0.0","Simple Realistic Archery VR-28524-1-26-1617578073.7z"
"+","Simple Realistic Archery VR - Attribute Cost Reload fix",118410,"https://www.nexusmods.com/skyrimspecialedition/mods/118410","1.26.0.0b","Simple Realistic Archery VR AttributeCost Patch-118410-1-26b-1714654697.zip"
"+","Pull Arrows VR - Immersive Extraction",169833,"https://www.nexusmods.com/skyrimspecialedition/mods/169833","2.0.0.0","Pull Arrows VR 169833 2.0.0 2026-07-12T12-24Z Ae46W7BnM.zip"
"+","Immersive Crossbow Reload VR",139152,"https://www.nexusmods.com/skyrimspecialedition/mods/139152","1.0.4.0","Immersive Crossbow Reload VR-139152-1-0-4-1738794365.rar"
"+","Steeds of Ultima VR - Player Mounted combat",81220,"https://www.nexusmods.com/skyrimspecialedition/mods/81220","1.1.3.0","Steeds of Ultima - VR (Mounted NPC combat)-81220-1-1-3-1767966204.zip"
"+","Sprint Jump VR",28354,"https://www.nexusmods.com/skyrimspecialedition/mods/28354","2.0.2.0","SprintJumpVR-28354-2-0-2-1728138797.rar"
"+","VR Climbing",168553,"https://www.nexusmods.com/skyrimspecialedition/mods/168553","0.11.0.0","VR Climbing-168553-0-11-0-1768246467.zip"
"+","SpellBender VR",164902,"https://www.nexusmods.com/skyrimspecialedition/mods/164902","1.0.2.0","SpellBender VR-164902-1-0-2-1768897338.zip"
"+","Interactive Torch Lighting VR",140404,"https://www.nexusmods.com/skyrimspecialedition/mods/140404","2.0.0.0","Interactive Torch Lighting VR 140404 2.0 2026-07-29T03-04Z L5WQbq2bA.zip"
"+","Instant Equip VR",44571,"https://www.nexusmods.com/skyrimspecialedition/mods/44571","1.2.0.0","Instant Equip VR 1.2.0-44571-1-2-0-1765671316.zip"
"+","Smooth Carriage Ride VR",129594,"https://www.nexusmods.com/skyrimspecialedition/mods/129594","0.5.0.0","SmoothCarriageRideVR-129594-0-5-1726695759.rar"
"+","Gift by Hand VR",99809,"https://www.nexusmods.com/skyrimspecialedition/mods/99809","2.1.0.0","Main file - Gift By Hand VR-99809-2-1-0-1700472570.zip"
"+","Dual Casting Fix VR",92804,"https://www.nexusmods.com/skyrimspecialedition/mods/92804","1.0.0.0","Dual Casting Fix-92804-1-0-0-1685844352.7z"
